speaker,test_file,distance,same_speaker
1272,1272-135031-0021.flac,91.07,True
1272,1272-135031-0022.flac,67.05,True
1272,1272-135031-0023.flac,73.39,True
1272,1272-135031-0024.flac,76.69,True
1272,1272-141231-0000.flac,69.99,True
1272,1272-141231-0001.flac,72.01,True
1272,1272-141231-0002.flac,87.34,True
1272,1272-141231-0003.flac,76.29,True
1272,1272-141231-0004.flac,62.62,True
1272,1272-141231-0005.flac,60.05,True
1272,1272-141231-0006.flac,76.7,True
1272,1272-141231-0007.flac,76.57,True
1272,1272-141231-0008.flac,72.76,True
1272,1272-141231-0009.flac,81.73,True
1272,1272-141231-0010.flac,86.78,True
1272,1272-141231-0011.flac,71.0,True
1272,1272-141231-0012.flac,77.73,True
1272,1272-141231-0013.flac,53.21,True
1272,1272-141231-0014.flac,85.48,True
1272,1272-141231-0015.flac,99.59,True
1272,1272-141231-0016.flac,91.68,True
1272,1272-141231-0017.flac,101.5,True
1272,1272-141231-0018.flac,76.53,True
1272,1272-141231-0019.flac,75.57,True
1272,1272-141231-0020.flac,83.12,True
1272,1272-141231-0021.flac,56.13,True
1272,1272-141231-0022.flac,75.48,True
1272,1272-141231-0023.flac,79.4,True
1272,1272-141231-0024.flac,81.85,True
1272,1272-141231-0025.flac,89.0,True
1272,1272-141231-0026.flac,64.41,True
1272,1272-141231-0027.flac,88.56,True
1272,1272-141231-0028.flac,69.19,True
1272,1272-141231-0029.flac,95.31,True
1272,1272-141231-0030.flac,80.05,True
1272,1272-141231-0031.flac,79.93,True
1272,1272-141231-0032.flac,65.0,True
1462,1462-170142-0019.flac,97.15,True
1462,1462-170142-0020.flac,105.93,True
1462,1462-170142-0021.flac,101.7,True
1462,1462-170142-0022.flac,89.53,True
1462,1462-170142-0023.flac,111.45,True
1462,1462-170142-0024.flac,110.53,True
1462,1462-170142-0025.flac,92.6,True
1462,1462-170142-0026.flac,97.6,True
1462,1462-170142-0027.flac,92.69,True
1462,1462-170142-0028.flac,90.6,True
1462,1462-170142-0029.flac,111.68,True
1462,1462-170142-0030.flac,97.05,True
1462,1462-170142-0031.flac,93.88,True
1462,1462-170142-0032.flac,138.68,True
1462,1462-170142-0033.flac,103.61,True
1462,1462-170142-0034.flac,98.32,True
1462,1462-170142-0035.flac,129.49,True
1462,1462-170142-0036.flac,86.54,True
1462,1462-170142-0037.flac,84.14,True
1462,1462-170142-0038.flac,98.68,True
1462,1462-170142-0039.flac,106.59,True
1462,1462-170142-0040.flac,110.96,True
1462,1462-170142-0041.flac,95.37,True
1462,1462-170142-0042.flac,101.04,True
1462,1462-170145-0000.flac,102.84,True
1462,1462-170145-0001.flac,111.25,True
1462,1462-170145-0002.flac,114.75,True
1462,1462-170145-0003.flac,109.91,True
1462,1462-170145-0004.flac,119.52,True
1462,1462-170145-0005.flac,119.77,True
1462,1462-170145-0006.flac,104.4,True
1462,1462-170145-0007.flac,115.37,True
1462,1462-170145-0008.flac,119.41,True
1462,1462-170145-0009.flac,110.1,True
1462,1462-170145-0010.flac,92.59,True
1462,1462-170145-0011.flac,110.65,True
1462,1462-170145-0012.flac,110.5,True
1462,1462-170145-0013.flac,110.96,True
1462,1462-170145-0014.flac,101.69,True
1462,1462-170145-0015.flac,106.18,True
1462,1462-170145-0016.flac,102.06,True
1462,1462-170145-0017.flac,104.23,True
1462,1462-170145-0018.flac,119.0,True
1462,1462-170145-0019.flac,109.56,True
1462,1462-170145-0020.flac,110.11,True
1462,1462-170145-0021.flac,107.82,True
1462,1462-170145-0022.flac,105.07,True
1673,1673-143397-0000.flac,78.69,True
1673,1673-143397-0001.flac,72.6,True
1673,1673-143397-0002.flac,73.68,True
1673,1673-143397-0003.flac,75.21,True
1673,1673-143397-0004.flac,74.7,True
1673,1673-143397-0005.flac,75.02,True
1673,1673-143397-0006.flac,73.79,True
1673,1673-143397-0007.flac,68.69,True
1673,1673-143397-0008.flac,73.22,True
1673,1673-143397-0009.flac,80.13,True
1673,1673-143397-0010.flac,80.15,True
1673,1673-143397-0011.flac,72.36,True
1673,1673-143397-0012.flac,78.61,True
1673,1673-143397-0013.flac,84.03,True
1673,1673-143397-0014.flac,77.99,True
1673,1673-143397-0015.flac,76.92,True
1673,1673-143397-0016.flac,78.7,True
1673,1673-143397-0017.flac,81.84,True
1673,1673-143397-0018.flac,78.55,True
1673,1673-143397-0019.flac,75.52,True
1673,1673-143397-0020.flac,72.93,True
